AssayID,publication_DOI,AssayType,AssayName,medium_MediumID,medium_publication_DOI,material_MaterialID,material_publication_DOI
102,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
102,10.1021/acs.est.7b01477,in silico,Transport study,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
103,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
103,10.1021/acs.est.7b01477,in silico,Transport study,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
104,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
104,10.1021/acs.est.7b01477,in silico,Transport study,2,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
105,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
105,10.1021/acs.est.7b01477,in silico,Transport study,2,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
106,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
106,10.1021/acs.est.7b01477,in silico,Transport study,2,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
107,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
107,10.1021/acs.est.7b01477,chemical characterization,Attachment efficiency,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
108,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
108,10.1021/acs.est.7b01477,chemical characterization,Attachment efficiency,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
109,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
109,10.1021/acs.est.7b01477,chemical characterization,Attachment efficiency,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
110,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
110,10.1021/acs.est.7b01477,chemical characterization,Attachment efficiency,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
111,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
111,10.1021/acs.est.7b01477,chemical characterization,Attachment efficiency,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
112,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
112,10.1021/acs.est.7b01477,chemical characterization,Attachment efficiency,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
113,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
113,10.1021/acs.est.7b01477,chemical characterization,Inductively coupled plasma mass spectrometry,1,10.1021/acs.est.7b01477,1,No Publication
114,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
114,10.1021/acs.est.7b01477,chemical characterization,dynamic light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
115,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
115,10.1021/acs.est.7b01477,chemical characterization,dynamic light scattering,1,10.1021/acs.est.7b01477,1,10.1021/acs.est.7b01477
